id;start_date;end_date;language
1;2024-02-10T07:02:16;2024-02-10T15:13:01;FRENCH
2;2024-02-10T01:39:10;2024-02-10T03:28:02;ENGLISH
3;2024-02-10T18:52:42;2024-02-10T13:47:40;SPANISH
4;2024-02-11T00:26:45;2024-02-10T12:11:24;SPANISH
5;2024-02-10T22:28:43;2024-02-10T01:39:21;FRENCH
6;2024-02-10T21:01:27;2024-02-10T11:52:55;SPANISH
7;2024-02-10T08:14:48;2024-02-10T19:57:19;SPANISH
8;2024-02-10T18:35:57;2024-02-10T09:10:33;SPANISH
9;2024-02-10T10:02:49;2024-02-10T21:31:18;FRENCH
10;2024-02-10T08:05:32;2024-02-10T08:35:32;FRENCH
