id;street_address;postal_code;city;state_province
1;mousse;disguise ah bah;North Jennings;train lest
2;anxiously knavishly;hmph because;South Margot;captor gadzooks spruce
3;play;baseline froth;Jaronchester;always
4;wield;noted deliberately once;Fort Rosalinda;geez loyalty
5;violent;yowza;New Ava;till monumental
6;astride;embarrassed delight ick;Dibbertshire;labor which
7;pursuit whether;untimely angrily;McClureport;expurgate for
8;ha courageously;authorisation;Smithfurt;so consequently frosting
9;next yippee;vice hmph;Fort Keshawnland;um
10;nor seriously;pish scratchy steamroller;Kennaview;but stitch mediate
